feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0069	Line	Vil1Cre	3.43003531271689	0.523148817418733	95	5	3.76820270956221e-09	2.47947738289193e-06
MF0032	Line	Vil1Cre	3.13909501586846	0.513258112728899	95	5	2.65902521685625e-08	3.49927718538283e-06
MF0084	Line	Vil1Cre	3.13909501586846	0.513258112728899	95	5	2.65902521685625e-08	3.49927718538283e-06
MF0052	Line	Vil1Cre	3.13909501586846	0.513258112728899	95	5	2.65902521685625e-08	3.49927718538283e-06
MF0059	Line	Vil1Cre	3.15133710532788	0.509498176609558	95	5	1.96240285978419e-08	3.49927718538283e-06
MF0032	Type	Mucosal	1.86566620527279	0.350354908462858	95	5	7.79857582218739e-07	6.41432861374912e-05
MF0084	Type	Mucosal	1.86566620527279	0.350354908462858	95	5	7.79857582218739e-07	6.41432861374912e-05
MF0052	Type	Mucosal	1.86566620527279	0.350354908462858	95	5	7.79857582218739e-07	6.41432861374912e-05
MF0059	Type	Mucosal	1.82048298787952	0.347788340020493	95	5	1.13389383081897e-06	8.2900237853209e-05
MF0043	Line	LyzCre	-3.59880847548251	0.676328491942282	95	0	3.95093608273419e-06	0.00025997159424391
MF0082	Line	Vil1Cre	2.8333328713031	0.579539107114982	95	5	4.59399325067249e-06	0.000274804323540227
MF0027	Type	Mucosal	-1.35746645842386	0.281661756931392	95	0	1.55628781149951e-05	0.000853364483305564
MF0069	Type	Mucosal	1.5979364462602	0.357106398308418	95	5	2.30494094977946e-05	0.00116665472688837
MF0043	Type	Mucosal	-1.0498624428052	0.229683551988475	95	0	3.55943604235977e-05	0.00167293493990909
MF0058	Type	Mucosal	0.850476383069257	0.206718704086606	95	5	8.79553873543311e-05	0.00385830965860999
MF0021	Line	JJWT	0.906502973123721	0.211372434213525	95	93	0.00010357025886949	0.00425932689600776
MF0103	Type	Mucosal	-0.549556001680873	0.131437448877013	95	85	0.000125088499565904	0.0048416607479038
MF0094	Type	Mucosal	-0.551590964840122	0.134261721731421	95	53	0.000158714800882033	0.0058019077211321
MF0065	Sequencing_Run	NovaSeq_Jan_Twenty	0.571686714669137	0.15101471512247	95	95	0.000281280118313663	0.00974117462370475
MF0022	Sequencing_Run	NovaSeq_Jan_Twenty	-0.908873196871354	0.234001779384005	95	88	0.000359989157547395	0.0118436432833093
MF0067	Line	Vil1Cre	-0.340766322765195	0.0921353052732226	95	95	0.000379036444853766	0.0118764752720847
MF0062	Type	Mucosal	-0.805065350937453	0.214704094256996	95	3	0.000491375099615715	0.0138151865140672
MF0019	Line	JJWT	1.20451357071484	0.318556616983824	95	9	0.000486745495259409	0.0138151865140672
MF0088	Line	Vil1Cre	-0.852863011389643	0.225748585914418	95	57	0.000503897380452298	0.0138151865140672
MF0021	Sequencing_Run	NovaSeq_Jan_Twenty	-0.606580640150341	0.166850382655043	95	93	0.000741616807543336	0.0180880750003275
MF0022	Line	JJWT	1.09081762736315	0.297256474782017	95	88	0.000693943397247642	0.0180880750003275
MF0011	Line	Vil1Cre	-0.401070502119289	0.114674547747883	95	95	0.000742215843478483	0.0180880750003275
MF0098	Line	JJWT	1.36548392306572	0.378888019209679	95	0	0.000823134213529444	0.0193436540179419
MF0011	Line	JJWT	-0.671018200308091	0.194975933054363	95	95	0.000890965399475655	0.0202156976846545
MF0083	Type	Mucosal	-0.470793071268594	0.135906642423205	95	0	0.001154853949037	0.0253211527226728
MF0006	Type	Mucosal	-0.260931727651093	0.0778678020675829	95	95	0.00119294184559705	0.0253211527226728
MF0098	Sequencing_Run	NovaSeq_Jan_Twenty	-1.03388181721813	0.298951466524027	95	0	0.00124062936833906	0.0255104413864719
MF0018	Type	Mucosal	-0.322146886127327	0.0930054564612077	95	94	0.0013606673168958	0.0264841433791182
MF0037	Type	Mucosal	-0.720853020266201	0.21176779407593	95	0	0.00136848157278118	0.0264841433791182
