feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Type	Mucosal	-1.00342860796987	0.11391215883738	95	42	1.66368130305846e-11	9.03579515848719e-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..brachy.group	Type	Mucosal	-1.27004269849746	0.147615639756824	95	4	3.22706969945971e-11	9.03579515848719e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Line	Vil1Cre	4.3265701702593	0.65597627656618	95	41	3.16171648560976e-09	5.90187077313822e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__	Type	Mucosal	-0.660880842634369	0.0942602547127812	95	66	9.2287626172559e-09	1.2611054920432e-06
k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__	Type	Mucosal	1.02650772700975	0.148679062502444	95	58	1.12598704646714e-08	1.2611054920432e-06
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__	Type	Mucosal	1.02233148835291	0.151964565728631	95	6	2.24515756031372e-08	2.09548038962614e-06
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Line	Vil1Cre	4.53479231786881	0.672071334737931	95	35	3.52935723820846e-08	2.82348579056677e-06
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Type	Mucosal	-0.859351893513672	0.136403924746622	95	83	9.53306287819e-08	6.673144014733e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Type	Mucosal	0.638937672635462	0.103832722462639	95	84	1.61446271434515e-07	1.00455457781476e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis	Type	Mucosal	-0.883743129450752	0.155057145292211	95	0	7.57002730984233e-07	4.2392152935117e-05
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Line	JJWT	-2.69319111823183	0.474964887234787	95	83	1.18198678510594e-06	6.01738726963026e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group	Type	Mucosal	-0.626369252314271	0.113129995676113	95	15	1.36055519657243e-06	6.34925758400468e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Line	Vil1Cre	2.41116571853123	0.449630368849468	95	18	3.48455789484626e-06	0.000150104032393377
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Sequencing_Run	NovaSeq_Jan_Twenty	3.18263746812308	0.602763885684338	95	18	4.08405008193994e-06	0.000153547798798894
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium	Sequencing_Run	NovaSeq_Jan_Twenty	1.96135531088725	0.370344312921182	95	2	4.11288746782753e-06	0.000153547798798894
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Type	Mucosal	-0.513492918088191	0.100030808362823	95	95	5.42943495707079e-06	0.000190030223497478
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Type	Mucosal	2.147569685707	0.447775695367417	95	41	6.63727162261005e-06	0.000218639535803625
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Line	JJWT	-4.23881477251949	0.840406879278744	95	14	9.33772768086627e-06	0.000290507083404728
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Type	Mucosal	0.709331716984044	0.143479299772499	95	40	1.02659100733633e-05	0.000302574191635972
k__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	Sequencing_Run	NovaSeq_Jan_Twenty	3.66496383338646	0.796142735583077	95	11	1.40769737733513e-05	0.000394155265653836
k__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	Line	JJWT	-4.51760923196025	1.00694549042163	95	11	2.20401919647433e-05	0.000587738452393156
k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Christensenellaceae.R.7.group	Line	JJWT	2.68246425193385	0.575569023632422	95	1	3.21455053725625e-05	0.000818249227665229
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium	Line	Vil1Cre	1.25724204839807	0.275756052351724	95	2	4.78655368965333e-05	0.00116542176791559
