metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sequencing_Run	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	2014_Sept	-2.77596747214783	0.471149587942509	45	10	6.7068676975351e-07	0.000179744054293941
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group	SI	-1.88937625075108	0.344844249301719	45	35	3.58504769061682e-06	0.000326337094594321
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	SI	-2.0441828216443	0.38087569179245	45	41	3.65302717829463e-06	0.000326337094594321
Site_General	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella	SI	-2.54779913098294	0.489006886598782	45	39	7.0132462947307e-06	0.000469887501746957
Site_General	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	SI	1.51850276912943	0.38469027180884	45	8	0.000320762296488967	0.0125207095618009
Site_General	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	SI	2.42997448217753	0.620646350821476	45	40	0.000344290163342606	0.0125207095618009
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	SI	-1.58739656435084	0.408195880911756	45	33	0.000373752524232861	0.0125207095618009
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Intestinimonas	SI	-1.41805649079535	0.360376221179447	45	38	0.000323309646546857	0.0125207095618009
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Clostridium_sensu_stricto_1	SI	2.11114210091809	0.581922417242289	45	14	0.000822850771091333	0.0162341465156655
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.010	SI	-1.26206530571007	0.349794460663465	45	7	0.000848052429922822	0.0162341465156655
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	SI	-1.47648432269625	0.402713443534473	45	29	0.000781667610559873	0.0162341465156655
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter	SI	-1.57688701582505	0.430514103093654	45	42	0.000726477221919566	0.0162341465156655
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae.g__Phascolarctobacterium	2015_Sept	2.95853427477663	0.804095688504512	45	8	0.000688956606761381	0.0162341465156655
Sequencing_Run	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	2015_Sept	-2.10181743364248	0.579332643749884	45	10	0.000800150688557431	0.0162341465156655
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.009	SI	-1.48304031013153	0.42450560207076	45	27	0.00118431227543138	0.0211597126543741
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__Family_XIII_UCG.001	SI	-1.51561792584864	0.434199660738955	45	19	0.00128159096506101	0.021466648664772
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_vadinBB60_group.g__	SI	-1.41510737605974	0.417425139432639	45	42	0.00160222154248594	0.0249025620554421
Sequencing_Run	k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	2015_Sept	2.75062564797647	0.816074333514844	45	7	0.00167256013805208	0.0249025620554421
Site_General	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	SI	2.16068984500626	0.648509135962066	45	15	0.00186599045117605	0.0263202863639569
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	SI	-1.37649607467222	0.424968617340703	45	42	0.00242265057887524	0.0324635177569282
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Candidatus_Arthromitus	2015_Sept	-5.28799007680862	1.26619421944341	45	25	0.00264564056535053	0.0337634129292353
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_9	SI	-1.09988132581891	0.368008278390829	45	44	0.00477810090995272	0.0582059565394241
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	2015_Sept	-1.29873410694353	0.390660305023209	45	45	0.00751728805058573	0.0847057789943367
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	2015_Sept	-1.53135633872571	0.544517107579427	45	41	0.00758559214874657	0.0847057789943367
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	2014_Sept	-1.82871609352995	0.666776980263087	45	17	0.0092378302867521	0.0990295406739826
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	SI	-0.642408008207364	0.23863824924244	45	45	0.0103213753827877	0.106389561637965
Site_General	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	SI	1.25830889744891	0.476133547559976	45	12	0.0116886881832825	0.11187744403999
Sequencing_Run	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	2014_Sept	1.36046165378061	0.512202488951579	45	43	0.01129840275762	0.11187744403999
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_9	2015_Sept	-1.62775678429308	0.562087980038488	45	44	0.0135407159609329	0.125134892328621
