OTU.ID,TL1a_FP_162,TL1a_FP_88,TL1a_FP_230,TL1a_FP_89,TL1a_FP_234,TL1a_FP_128,TL1a_FP_129,TL1a_FP_287,TL1a_FP_86,TL1a_FP_198,TL1a_FP_161,TL1a_FP_266,TL1a_FP_197,TL1a_FP_159,TL1a_FP_132,TL1a_FP_130,TL1a_FP_90,TL1a_FP_195,TL1a_FP_158,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_269,TL1a_FP_288,TL1a_FP_87,TL1a_FP_196,TL1a_FP_131,TL1a_FP_270,TL1a_FP_160,TL1a_FP_194,TL1a_FP_286,TL1a_FP_232,TL1a_FP_233,TL1a_FP_268,TL1a_FP_285,TL1a_FP_85,TL1a_FP_127,TL1a_FP_193,TL1a_FP_265,TL1a_FP_157,TL1a_FP_283,TL1a_FP_229,TL1A_FP_626,TL1A_FP_677,TL1A_FP_674,TL1A_FP_678,TL1A_FP_625,TL1A_FP_630,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,9,73,0,46,0,0,126,12,25,0,33,21,0,6,6,0,1,0,23,146,9,793,698,0,27,27,21,745,2,4746,1159,426,157,186,10,6,8,2,5,100,6,13,0,0,0,14,15,9,0,5,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,3,0,7,4,6,17,0,23,0,21,16,0,0,11,0,6,0,7,2,14,87,76,0,43,22,5,369,15,97,74,10,28,10,0,11,4,1,7,12,0,0,0,2,0,0,0,5,6,2,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,135084,7885,10350,103304,809,23555,14777,17323,8638,27206,62291,7416,28634,13028,34761,41178,5195,17380,14727,12270,3926,7229,15142,5592,4667,11190,319,65808,12418,18157,4899,397,6180,23002,3830,8312,28515,17226,8466,35427,6548,5715,2477,559,1589,183,1586,3087,1639,1504,502,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,386,495,0,125,0,484,231,273,481,2,164,222,24,70,302,66,13,79,57,0,61,380,3,196,488,72,14,0,129,9,104,0,0,201,278,335,226,12,118,247,283,0,248,2,242,3,254,122,482,432,257,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,236,23970,26754,20,84243,9343,8989,26670,25816,23767,568,10727,16137,613,7412,1164,1763,23300,1797,26478,28718,10442,31386,52865,20971,22061,12652,7486,6446,27205,18184,5083,29596,9171,23352,32664,20332,31201,7200,6701,27804,20649,5210,215,5509,1251,5914,4011,10259,5614,3731,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,23,232,39,0,84,56,85,546,198,50,29,118,49,46,541,0,107,50,171,50,531,103,65,144,312,71,18,19,81,106,70,3,3,52,429,234,76,53,108,106,221,35,0,0,99,6,0,17,102,43,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,49,12550,1092,3,21,817,1427,5235,17526,34,30,12608,958,1623,10671,128,851,3811,7242,1278,20290,7522,20,1791,9118,3979,223,84,586,6385,2756,100,74,2509,12785,9558,2224,4975,4854,17413,8529,533,327,1,1074,0,259,81,603,718,132,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,18771,150,0,24141,0,24,21,0,0,2,6701,0,4,1,32,7601,842,0,22,4,0,0,1,0,1,4,8,0,364,1,0,0,0,0,1,0,14,1,0,0,0,0,48,88,14,24,4,535,2,0,9,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,126,345,0,0,0,0,0,197,0,0,0,12,0,0,0,6,0,0,185,0,0,1,26,446,0,7,0,0,0,0,6,0,0,0,254,0,1,0,0,0,770,30,0,7,0,88,22,30,15,26,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,2146,4486,6225,524,96,899,857,3302,3523,140,853,3833,229,257,1428,292,184,506,455,8333,191,2521,26,1587,3127,525,10,16,402,142,468,107,77,1188,551,3916,770,128,1339,2393,933,2647,563,22,374,16,803,462,596,832,852,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,292,2,1,6,0,0,0,187,1,0,0,0,0,0,0,8,0,0,31,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,266,0,1,0,0,0,1,17,0,46,8,27,8,193,53,20,
