metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella	Mucosal	-1.32465480228179	0.222902071538666	53	53	5.62109782974316e-07	0.00018886888707937
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Mucosal	-1.18907897349227	0.209214355299237	53	53	1.29948197661463e-06	0.000218312972071259
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	Distal_Colon	1.6186792071591	0.304185178840366	53	6	4.1464764943069e-06	0.000401033834521168
Type	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	Mucosal	1.48420628109881	0.281432653593299	53	6	4.77421231572819e-06	0.000401033834521168
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	2014_Sept	-1.65575936846783	0.345101425531769	53	6	2.12948983060832e-05	0.00143101716616879
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Mucosal	-1.08367561554013	0.231271671494088	53	53	3.17895764942094e-05	0.00178021628367573
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group	Mucosal	-1.61645028916299	0.356166133044148	53	37	5.07337394243386e-05	0.00213081705582222
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	2015_Sept	-1.33339783266037	0.298205816252254	53	53	5.05336240013774e-05	0.00213081705582222
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Mucosal	-0.809527956039248	0.180831522752625	53	53	6.11317665682717e-05	0.00228225261854881
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.003	Distal_Colon	-1.28318082047194	0.338986620006919	53	14	0.000502618498634003	0.0168879815541025
Type	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	Mucosal	0.772517907990539	0.218781782002721	53	44	0.00105784141785431	0.0296791363440933
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter	Distal_Colon	-1.13420959531323	0.321466804297488	53	52	0.00105996915514619	0.0296791363440933
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	Mucosal	-0.78412791518422	0.234917102236857	53	46	0.0018324440207924	0.047361630075865
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Intestinimonas	Distal_Colon	-0.742648587577412	0.22871838344695	53	52	0.00234531837832208	0.05628764107973
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Millionella	Mucosal	-0.91266335372784	0.292036187874889	53	18	0.00330046283848396	0.0581514840052409
Type	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Clostridium_sensu_stricto_1	Mucosal	-1.30974072989462	0.421744030443156	53	16	0.00346139785745481	0.0581514840052409
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Distal_Colon	-0.648201874465142	0.206513973810697	53	53	0.00317342538375911	0.0581514840052409
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.004	Distal_Colon	-0.966999154018396	0.30976244565202	53	50	0.00331153280419576	0.0581514840052409
Type	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.010	Mucosal	0.983221783782689	0.313560806413416	53	9	0.00318462482465164	0.0581514840052409
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	Distal_Colon	-0.872928633306918	0.274927460714927	53	53	0.00287287959677481	0.0581514840052409
Type	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	Mucosal	-0.501351964516324	0.162744149691096	53	6	0.00372589919081951	0.0596143870531121
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	Distal_Colon	-1.20759107431441	0.395969462738152	53	53	0.00404124944212284	0.0617209005706034
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__	Male	1.04577904022074	0.238984399599948	53	41	0.00508662323592797	0.0743089307509477
Type	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Mucosal	-0.718513867475612	0.245830555177244	53	48	0.00567944279472241	0.0795121991261137
Site	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	Distal_Colon	1.84606668663828	0.638098671456237	53	18	0.0061190851815867	0.0822405048405253
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	Distal_Colon	-0.575354696266322	0.202285706820307	53	53	0.00695633250253146	0.0898972200327142
Type	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Mucosal	-1.09102782469066	0.38806190280737	53	15	0.00758281371097116	0.0943639039587522
