#OTU ID,TL1a_FP_89,TL1a_FP_287,TL1a_FP_161,TL1a_FP_197,TL1a_DTT_269_Repeat,TL1a_FP_269,TL1a_FP_131,TL1a_DTT_89_Re_extracted,TL1a_DTT_197_Repeat,TL1a_FP_233,TL1a_DTT_287,TL1a_DTT_233,TL1A_DTT_629,TL1A_FP_677,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,126,0,21,0,793,27,28,0,426,34,8,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,17,0,16,1,87,22,3,15,10,21,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,103304,17323,62291,28634,31,15142,319,10599,176,6180,499,234,18572,559,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,125,273,164,24,0,3,14,2,10,0,80,0,100,2,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,20,26670,568,16137,5904,31386,12652,5947,8406,29596,4773,40236,50,215,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,0,546,29,49,114,65,18,100,52,3,26,22,1,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,3,5235,30,958,0,20,223,672,61,74,588,36,0,1,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,24141,0,6701,4,0,1,8,0,0,0,0,0,5740,88,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,0,0,12,0,1,7,29,0,0,0,8,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,524,3302,853,229,271,26,10,362,0,77,227,149,905,22,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,1,0,0,0,0,0,0,0,0,0,14,19,1,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,1,9334,45,457,1,5,74,353,26,106,0,398,0,1,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,2518,431,2014,950,0,2,0,410,0,215,0,0,3805,695,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,8,0,0,3,23,32,419,0,8,14,19,0,72,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,24,2125,19,3707,1100,15899,13730,399,574,13158,503,8996,0,413,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,8,0,0,17,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,43,0,15,22,0,0,0,0,0,2,0,0,27,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,2,11,4,4,6952,14,66,40,5,10,4254,36,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,0,27,78,22,63,23,0,14,0,106,1,0,
