Module	TL1A_FP_630	TL1a_DTT_266	TL1a_DTT_267	TL1a_FP_131	TL1a_FP_130	TL1a_FP_132	TL1A_DTT_626	TL1A_DTT_627	TL1A_DTT_628	TL1A_DTT_629	TL1a_FP_128	TL1a_FP_127	TL1a_FP_129	TL1a_DTT_158	TL1a_DTT_159	TL1a_DTT_89_Re_extracted	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_87	TL1a_DTT_286	TL1a_DTT_287	TL1a_DTT_284	TL1a_DTT_285	TL1a_DTT_283	TL1a_DTT_268_Repeat	TL1a_DTT_160	TL1a_DTT_270_Repeat	TL1a_FP_157	TL1a_FP_159	TL1a_FP_158	TL1a_DTT_90_Repeat	TL1a_FP_270	TL1a_DTT_198_Repeat	TL1a_FP_265	TL1a_FP_267	TL1a_FP_266	TL1a_FP_269	TL1a_FP_268	TL1A_DTT_673	TL1A_DTT_674	TL1A_DTT_675	TL1a_FP_86	TL1A_FP_673	TL1A_FP_674	TL1a_DTT_229	TL1a_FP_87	TL1a_FP_88	TL1A_FP_675	TL1a_FP_89	TL1a_FP_85	TL1A_FP_677	TL1A_FP_678	TL1a_DTT_88_Repeat	TL1a_DTT_231	TL1a_DTT_232	TL1a_DTT_230	TL1a_DTT_194	TL1a_DTT_195	TL1a_DTT_193	TL1a_DTT_233	TL1a_DTT_234	TL1a_FP_285	TL1a_FP_90	TL1a_FP_284	TL1a_FP_287	TL1a_FP_286	TL1a_FP_288	TL1a_DTT_157_Repeat	TL1a_FP_160	TL1a_FP_162	TL1a_FP_283	TL1a_FP_161	TL1a_DTT_129	TL1a_DTT_128	TL1a_FP_230	TL1a_FP_197	TL1a_FP_196	TL1a_FP_232	TL1a_FP_198	TL1a_FP_231	TL1a_FP_234	TL1a_FP_233	TL1a_DTT_197_Repeat	TL1a_FP_193	TL1a_DTT_196_Repeat	TL1a_FP_195	TL1a_FP_194	TL1a_FP_229	TL1A_FP_626	TL1A_FP_627	TL1A_FP_625	TL1a_DTT_130_Repeat	TL1a_DTT_265	TL1A_DTT_630	TL1a_DTT_127_Repeat	TL1a_DTT_269_Repeat
MGB015	7252.98	23305.54	52977.14	4285.25	72023.25	51402.14	3577.62	4049.35	6713.12	38604.12	65066.88	64815.32	35656.29	6624.22	25574.32	18814.81	21770.13	14670.94	29551.3	14394.72	4216.37	49020.32	23135.29	22729.65	10727.08	20315.97	21654.3	63767.33	16138.73	20834.83	3323.7	90470.38	12501.88	32522.26	33850.16	32502.43	39297.79	49082.32	7305.79	3591.68	3913.52	26182.3	6648.8	4327.14	61113.5	22457.68	26266.45	6100.53	192136.23	27486.03	6869.47	2854.42	3303.21	26380.41	7272.07	11423.61	29642.42	21433.56	35400.34	13370.79	11609.15	22545.4	27803.24	15457.37	41527.03	26839.82	28753.58	18700.42	39172.1	212978.95	34820.52	96870.13	22596.39	21242.18	34092.73	71009.84	26315.38	3336.11	288410.17	36739.79	24034.97	18388.92	2772.82	39577.79	10559.81	40004.97	39199.07	18601.43	7597.69	3734.57	5524.12	6855.56	8613.81	18050.34	31438.48	6058.22
MGB037	5647.3	14967.465	41355.935	10759.835	49725.134999999995	45925.025	4028.0599999999995	4216.615	5068.525	25485.16	30796.75	39344.435	21159.205	4520.1849999999995	19895.27	13839.455	24629.795	21649.185	29325.600000000002	9401.130000000001	3074.19	20850.67	21793.0	20122.52	11510.335	16730.98	22373.23	53528.81	14607.705	19959.415	3630.9300000000003	70476.19	9769.23	21586.565	23419.5	26567.29	37255.145000000004	39371.645000000004	5398.219999999999	3482.855	4282.23	33541.225	6176.04	4900.6900000000005	41443.795	33661.565	30552.705	5222.0599999999995	119164.39	27516.645	4100.21	3308.635	2892.815	38411.875	7529.085	8002.25	23050.4	32701.149999999998	25241.684999999998	13621.25	9700.5	18517.335	18553.13	22408.58	32423.835	20944.25	28834.265	12533.25	27449.75	136114.455	23542.25	63588.715	11948.310000000001	11837.02	26505.835	35388.465	19888.795	6639.25	36418.46	28132.665	24063.185	17374.185	2443.685	27554.165	10881.145	25478.5	28374.315	15438.585	5379.014999999999	4601.1900000000005	4421.065	8809.665	4767.525	12142.775000000001	19075.04	2532.25
MGB038	1233.8	2150.93	7045.0	94.4	9201.54	5032.5	236.0	383.4	699.6	6247.33	16538.0	18236.5	7319.5	496.5	2171.0	3297.33	1703.0	1092.0	4858.0	484.0	158.0	546.0	1598.0	965.0	531.0	1819.5	771.0	9747.0	797.5	2410.5	139.2	18055.34	1717.0	4140.0	2061.0	3554.0	5788.83	9767.33	1381.33	126.0	129.0	2304.0	660.0	193.5	6862.97	2500.0	1928.5	436.5	27727.33	1154.0	416.0	344.7	286.0	5322.66	45.0	1030.0	6106.67	4247.0	10594.0	399.0	354.5	394.5	1757.5	714.0	5868.0	2347.0	2058.0	2156.0	1249.0	34047.63	1609.0	16998.07	3305.0	3387.0	336.0	28342.34	6646.0	147.0	28118.0	597.5	324.0	1361.67	140.5	14182.5	146.0	13590.0	13002.5	304.0	1786.5	197.0	645.0	115.0	342.5	3084.8	5968.0	2.0
MGB016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.0	2.0	0.0	0.0	0.0	0.0	0.0	34.0	74.0	76.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	31.0	0.0	0.0	0.0	182.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	12.0	0.0	0.0	2.0	42.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	908.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	2.0	15.0	0.0
MGB039	93.67	147.0	195.0	20.67	727.0	100.67	37.0	226.33	85.0	354.66	636.33	140.33	160.0	15.0	237.0	353.0	1054.67	980.67	3950.33	41.67	91.67	534.67	95.67	83.67	908.0	167.0	550.0	139.0	24.0	35.0	413.0	1111.34	298.33	168.0	140.67	120.0	1208.0	343.0	99.0	40.67	47.67	1903.33	178.67	95.67	811.0	2612.67	1514.0	196.0	1392.0	843.67	2070.0	54.0	860.0	1951.66	17.0	905.0	137.5	102.0	151.33	364.0	152.0	113.67	9849.0	81.33	97.0	52.67	269.33	70.33	4875.0	2613.0	142.33	1041.0	779.33	847.67	287.0	388.34	38.0	16.0	1186.67	222.0	6.0	84.67	28.0	6.0	5.0	28.33	34.0	67.0	161.67	93.67	89.67	343.0	65.67	154.0	577.0	0.0
MGB033	8244.82	31022.53	98931.52	13776.0	55736.76	60535.23	6910.6	11060.48	7330.07	29661.86	58160.05	55611.0	35511.01	10452.1	31655.75	19638.61	43366.74	44400.31	64218.35	16492.82	7147.21	95694.32	44041.96	40837.95	11780.25	24054.37	35341.45	73597.24	18204.54	26985.33	7628.79	73614.92	17587.34	36228.64	45585.32	48487.24	36782.25	45765.94	7386.39	6573.05	6999.76	59303.29	8894.44	7429.32	50154.33	66375.0	55200.59	9817.93	132701.45	44592.93	7123.43	6895.47	6272.83	73816.52	72601.75	20645.78	34597.38	79606.94	38313.36	17002.62	13000.65	44600.4	24624.96	36346.05	48313.2	46035.9	37558.13	24663.92	46923.1	151559.24	51758.02	70558.52	30377.47	26577.14	44000.4	47809.7	26850.75	57846.5	267136.7	44985.46	26360.01	20564.46	3324.37	30923.46	11572.88	34262.97	33300.86	21450.1	8305.13	9190.41	6172.02	8034.73	15440.24	14665.18	36123.04	7155.56
MGB055	7557.349999999999	17480.79	37290.435	5702.285	72800.07500000001	65922.24	4560.765	3198.4750000000004	7129.11	40190.295	47648.375	62147.97	33448.284999999996	6927.0599999999995	29674.225000000002	20682.165	22054.215	12763.060000000001	20986.93	14989.345	3168.4849999999997	9604.635	22326.75	25301.065	10429.005000000001	23734.739999999998	19804.9	77580.265	21909.91	26186.745000000003	2791.4849999999997	103677.44	12711.310000000001	41017.19	40371.625	38677.915	40403.435	50528.06	7600.0650000000005	4009.945	5042.15	29297.260000000002	8471.664999999999	5750.86	61597.14	21368.28	29370.534999999996	6563.39	183841.33000000002	31984.895	5556.89	7335.33	1777.44	21052.965	11182.380000000001	8051.25	33378.065	20411.695	34629.22	17846.125	14079.625	20052.254999999997	24214.69	19161.489999999998	51061.505	21143.625	38406.8	19106.0	31864.875	209282.385	33934.875	96198.69499999999	19066.765	18367.69	40607.755	53660.84	28559.590000000004	3643.125	54254.96	48529.745	36554.06	23265.43	3697.56	38111.745	16424.77	37348.25	39422.19	26871.254999999997	7759.325000000001	4474.485	7287.780000000001	8879.119999999999	6041.865	18219.77	29835.665	3314.0
MGB034	5138.37	17775.645	30190.395	13717.0	56111.020000000004	33979.5	2757.755	3164.845	2628.22	26505.095	42193.34	44586.965	26237.705	6243.52	24766.675	16218.0	8940.5	19360.52	13908.0	12296.495	625.0	11860.295	24054.75	5625.0	6817.0	18856.98	20254.3	60448.485	15972.985	21600.415	762.2	75994.87	7883.52	24993.98	26805.875	29671.055	23703.5	30251.0	3997.38	711.5	767.0	12353.0	5294.805	4389.37	51434.16	29877.76	33141.744999999995	5125.88	130844.445	27335.8	4295.0	5118.085	920.0	32162.395	5530.96	11439.5	24821.105	15481.565	16631.0	1888.0	927.0	18326.835	16568.33	20819.89	12936.0	4861.0	25081.35	8715.5	14163.25	150858.68	24394.125	69986.38500000001	20173.3	18499.955	28976.4	28436.29	19416.975	8409.625	16675.5	31024.13	1296.0	10475.0	1546.77	24051.129999999997	452.0	25511.05	26035.63	15673.85	5605.959999999999	2559.995	3985.845	5540.0	1204.0	10035.3	12981.0	1002.0
MGB056	0.0	0.0	22.0	7.0	8.0	57.0	4.0	1.0	33.0	0.0	0.0	0.0	0.0	15.0	222.0	388.0	231.0	22.0	96.0	5.0	0.0	2.0	60.0	100.0	887.0	158.0	505.0	139.0	24.0	29.0	392.0	406.0	162.0	168.0	40.0	120.0	1390.0	343.0	20.0	0.0	4.0	58.0	1.0	0.0	26.0	5.0	38.0	0.0	45.0	19.0	2174.0	24.0	685.0	0.0	53.0	0.0	0.0	0.0	0.0	2.0	22.0	7.0	9696.0	9.0	0.0	12.0	84.0	43.0	4859.0	0.0	16.0	0.0	43.0	266.0	0.0	28.0	0.0	0.0	963.0	0.0	6.0	18.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.0	45.0	8.0	165.0	0.0
MGB035	5116.705	19504.82	65794.66	11302.314999999999	29737.83	39547.81	4683.55	7031.32	5002.83	15071.259999999998	40349.03	39091.43	24810.78	7323.745000000001	22307.1	12792.599999999999	27251.39	27200.8	41568.405	13785.080000000002	5785.575000000001	65260.354999999996	30958.699999999997	31377.645	14825.5	15964.779999999999	32035.62	52070.475000000006	11034.325	16411.915	5121.07	40125.284999999996	14558.3	36549.75	41960.104999999996	40542.045	34750.8	39970.119999999995	4211.34	4686.07	5062.3	37347.925	6484.015	4961.705	26563.235	40484.32000000001	35605.945	6823.215	67476.91	30318.885000000002	5278.135	4063.11	4914.24	41710.185000000005	9791.685	14636.465	24294.269999999997	50334.619999999995	25201.809999999998	16085.635	11523.599999999999	33093.020000000004	18353.36	24346.504999999997	39409.55	37412.520000000004	35111.119999999995	18086.915	40674.525	79474.065	42933.315	36908.98	23730.239999999998	20704.465	32924.600000000006	28329.524999999998	19240.95	7354.214999999999	139687.67	35529.28	24798.18	16141.98	3089.14	20207.28	11261.015	23311.864999999998	22262.455	18875.15	5632.86	6070.875	4477.055	10341.845	11236.79	7959.715	25853.495000000003	6651.93
