	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_193	TL1a_DTT_283	TL1a_DTT_229	TL1a_DTT_87	TL1A_DTT_673	TL1A_DTT_675	TL1A_DTT_627
TL1a_DTT_127_Repeat	0.0	0.9314605485031147	2.5916477851263355	0.7624976085111261	0.37135199229914573	0.6526439634630656	2.2517989767281574	0.6738416583075744	0.7583843320375653	2.2908827131173526	0.2699426684842926	2.353265300407015	2.7331713741114925	1.7938380261690203	2.8049481612588427	2.637745076968191	2.3771586053627756
TL1a_DTT_157_Repeat	0.9314605485031147	0.0	2.644915090161292	0.5494417521282421	1.2623968001395076	0.28073199472911897	1.4796358481609426	0.43390680725656416	1.6087875010227564	1.4519718840417182	1.0614166748590022	1.6118033852512312	2.7230008190247217	1.1503399156605465	2.174203964608453	1.8149262946561222	1.6430519645619073
TL1a_DTT_231	2.5916477851263355	2.644915090161292	0.0	2.9972135540430633	2.66334206284456	2.6013908407078987	3.754877862925456	2.3752572211886003	3.1377969006143944	3.0307226361045423	2.4923539794013125	3.927550701730833	1.1413727425723692	2.1530563487875805	1.9919126826815001	2.9620370528589275	2.2584587540687777
TL1a_DTT_267	0.7624976085111261	0.5494417521282421	2.9972135540430633	0.0	1.086159753793376	0.4572366410221913	1.5233068655119337	0.6258452385051465	1.2769350719294015	1.7632495383262994	0.8894340725939989	1.6099985486020598	3.1397169988928244	1.5616121316997653	2.6949141794204903	2.181460897605238	2.12530315463557
TL1a_DTT_129	0.37135199229914573	1.2623968001395076	2.66334206284456	1.086159753793376	0.0	0.9824040774316816	2.5989393072743936	1.0256818983073959	0.5130461715317319	2.6527030135678853	0.48440566266629775	2.694009403596484	2.742401982485255	2.1258305378726328	3.062638124159212	2.9912463126305435	2.6879935352652815
TL1a_DTT_265	0.6526439634630656	0.28073199472911897	2.6013908407078987	0.4572366410221913	0.9824040774316816	0.0	1.7032009841226545	0.31553188416559613	1.3377093588119153	1.7063352066387363	0.8014974700485005	1.8240518314771308	2.688052946879958	1.3233460439324822	2.3477326609944495	2.0645216780080475	1.8538747801184217
TL1a_DTT_285	2.2517989767281574	1.4796358481609426	3.754877862925456	1.5233068655119337	2.5989393072743936	1.7032009841226545	0.0	1.7647261189086891	2.7822087369625965	0.9824707037295296	2.323896018616836	0.18022095710821998	3.948408858562876	1.6430153798693774	2.6134592498320797	1.4151117958370156	1.9031209311123236
TL1a_DTT_159	0.6738416583075744	0.43390680725656416	2.3752572211886003	0.6258452385051465	1.0256818983073959	0.31553188416559613	1.7647261189086891	0.0	1.4202179008981142	1.63952129537085	0.715759082208204	1.8977595205534015	2.5787320063274843	1.1345031057313262	2.216887285527804	1.9673412031944244	1.7251161932341905
TL1a_DTT_195	0.7583843320375653	1.6087875010227564	3.1377969006143944	1.2769350719294015	0.5130461715317319	1.3377093588119153	2.7822087369625965	1.4202179008981142	0.0	2.984851954160179	0.8315519023551856	2.848912615288534	3.2242021373031	2.5465383585671524	3.5489139736076503	3.3608894866793135	3.1327121000655023
TL1a_DTT_85	2.2908827131173526	1.4519718840417182	3.0307226361045423	1.7632495383262994	2.6527030135678853	1.7063352066387363	0.9824707037295296	1.63952129537085	2.984851954160179	0.0	2.315373837662211	1.14928309298189	3.299969040403587	0.8998718130179785	1.7060462874548885	0.47313602446732483	0.9842396287249635
TL1a_DTT_193	0.2699426684842926	1.0614166748590022	2.4923539794013125	0.8894340725939989	0.48440566266629775	0.8014974700485005	2.323896018616836	0.715759082208204	0.8315519023551856	2.315373837662211	0.0	2.4281312948423546	2.74241094550775	1.7711921562824022	2.817003018710974	2.648150297666624	2.388635772490251
TL1a_DTT_283	2.353265300407015	1.6118033852512312	3.927550701730833	1.6099985486020598	2.694009403596484	1.8240518314771308	0.18022095710821998	1.8977595205534015	2.848912615288534	1.14928309298189	2.4281312948423546	0.0	4.119241080335641	1.819549204052939	2.7892305864891562	1.5700908647547436	2.079974071669808
TL1a_DTT_229	2.7331713741114925	2.7230008190247217	1.1413727425723692	3.1397169988928244	2.742401982485255	2.688052946879958	3.948408858562876	2.5787320063274843	3.2242021373031	3.299969040403587	2.74241094550775	4.119241080335641	0.0	2.510601848509888	2.084261916836313	3.252205346963682	2.4759610349955454
TL1a_DTT_87	1.7938380261690203	1.1503399156605465	2.1530563487875805	1.5616121316997653	2.1258305378726328	1.3233460439324822	1.6430153798693774	1.1345031057313262	2.5465383585671524	0.8998718130179785	1.7711921562824022	1.819549204052939	2.510601848509888	0.0	1.2990660797145879	0.9974177123216986	0.6873379371610245
TL1A_DTT_673	2.8049481612588427	2.174203964608453	1.9919126826815001	2.6949141794204903	3.062638124159212	2.3477326609944495	2.6134592498320797	2.216887285527804	3.5489139736076503	1.7060462874548885	2.817003018710974	2.7892305864891562	2.084261916836313	1.2990660797145879	0.0	1.4330089163145188	0.7347790257430075
TL1A_DTT_675	2.637745076968191	1.8149262946561222	2.9620370528589275	2.181460897605238	2.9912463126305435	2.0645216780080475	1.4151117958370156	1.9673412031944244	3.3608894866793135	0.47313602446732483	2.648150297666624	1.5700908647547436	3.252205346963682	0.9974177123216986	1.4330089163145188	0.0	0.7870401057860501
TL1A_DTT_627	2.3771586053627756	1.6430519645619073	2.2584587540687777	2.12530315463557	2.6879935352652815	1.8538747801184217	1.9031209311123236	1.7251161932341905	3.1327121000655023	0.9842396287249635	2.388635772490251	2.079974071669808	2.4759610349955454	0.6873379371610245	0.7347790257430075	0.7870401057860501	0.0
