sampleid,Truncated_SampleID,MouseID,Type,Sex,Site,Site_General,Genotype,Line,DSS_Treatment,DSS_group,Microbiota,Subset,Dataset,humann_sampleid
BioGeo-TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_127,167,Luminal,Female,Distal_Colon,Colon,WT,NA,No,None,Cedars_SPF,Luminal_Colon,SPF_Gavage,BioGeo.TL1a_FP_127
BioGeo-TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_131,167,Luminal,Female,Jejunum,SI,WT,NA,No,None,Cedars_SPF,Luminal_SI,SPF_Gavage,BioGeo.TL1a_FP_131
BioGeo-TL1a_FP_193-Rep1_S85_R1_001.fastq_profiled_metagenome,TL1a_FP_193,217,Luminal,Female,Distal_Colon,Colon,WT,NA,No,None,Cedars_SPF,Luminal_Colon,SPF_Gavage,BioGeo.TL1a_FP_193.Rep1_S85
BioGeo-TL1a_FP_197-REP1_S10_R1_001.fastq_profiled_metagenome,TL1a_FP_197,217,Luminal,Female,Jejunum,SI,WT,NA,No,None,Cedars_SPF,Luminal_SI,SPF_Gavage,BioGeo.TL1a_FP_197.REP1_S10
BioGeo-TL1a_FP_229-REP1_S12_R1_001.fastq_profiled_metagenome,TL1a_FP_229,223,Luminal,Female,Distal_Colon,Colon,WT,NA,No,None,Cedars_SPF,Luminal_Colon,SPF_Gavage,BioGeo.TL1a_FP_229.REP1_S12
BioGeo-TL1a_FP_233-REP1_S13_R1_001.fastq_profiled_metagenome,TL1a_FP_233,223,Luminal,Female,Jejunum,SI,WT,NA,No,None,Cedars_SPF,Luminal_SI,SPF_Gavage,BioGeo.TL1a_FP_233.REP1_S13
BioGeo-TL1A_FP_625-REP1_S16_R1_001.fastq_profiled_metagenome,TL1A_FP_625,324,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Cedars_SPF,Luminal_Colon,SPF_Gavage,BioGeo.TL1A_FP_625.REP1_S16
BioGeo-TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome,TL1A_FP_629,324,Luminal,Male,Jejunum,SI,WT,NA,No,None,Cedars_SPF,Luminal_SI,SPF_Gavage,BioGeo.TL1A_FP_629
BioGeo-TL1A_FP_673-REP1_S20_R1_001.fastq_profiled_metagenome,TL1A_FP_673,342,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Cedars_SPF,Luminal_Colon,SPF_Gavage,BioGeo.TL1A_FP_673.REP1_S20
BioGeo-TL1A_FP_677-REP1_S21_R1_001.fastq_profiled_metagenome,TL1A_FP_677,342,Luminal,Male,Jejunum,SI,WT,NA,No,None,Cedars_SPF,Luminal_SI,SPF_Gavage,BioGeo.TL1A_FP_677.REP1_S21
BioGeo-TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_85,161,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Cedars_SPF,Luminal_Colon,SPF_Gavage,BioGeo.TL1a_FP_85
BioGeo-TL1a_FP_101-REP1_S6_R1_001.fastq_profiled_metagenome,TL1a_FP_101,163,Luminal,Male,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1a_FP_101.REP1_S6
BioGeo-TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_139,172,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1a_FP_139
BioGeo-TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_143,172,Luminal,Male,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1a_FP_143
BioGeo-TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_205,213,Luminal,Female,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1a_FP_205
BioGeo-TL1a_FP_209-REP1_S11_R1_001.fastq_profiled_metagenome,TL1a_FP_209,213,Luminal,Female,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1a_FP_209.REP1_S11
BioGeo-TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_241,226,Luminal,Female,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1a_FP_241
BioGeo-TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_61,141,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1a_FP_61
BioGeo-TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome,TL1A_FP_637,322,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1A_FP_637
BioGeo-TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome,TL1A_FP_641,322,Luminal,Male,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1A_FP_641
BioGeo-TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome,TL1a_FP_65,141,Luminal,Male,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1a_FP_65
BioGeo-TL1A_FP_685-REP1_S22_R1_001.fastq_profiled_metagenome,TL1A_FP_685,340,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1A_FP_685.REP1_S22
BioGeo-TL1A_FP_689-Rep1_S104_R1_001.fastq_profiled_metagenome,TL1A_FP_689,340,Luminal,Male,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1A_FP_689.Rep1_S104
BioGeo-TL1a_FP_73-REP1_S3_R1_001.fastq_profiled_metagenome,TL1a_FP_73,143,Luminal,Male,Distal_Colon,Colon,WT,NA,No,None,Humanized,Luminal_Colon,HUM_Gavage,BioGeo.TL1a_FP_73.REP1_S3
BioGeo-TL1a_FP_77-REP1_S4_R1_001.fastq_profiled_metagenome,TL1a_FP_77,143,Luminal,Male,Jejunum,SI,WT,NA,No,None,Humanized,Luminal_SI,HUM_Gavage,BioGeo.TL1a_FP_77.REP1_S4
BioGeo-Lyz2-01B-FP207-S55_merged_R1_001.fastq_profiled_metagenome,Lyz2-01B-FP207-S55,3B_LyzCre,Luminal,Female,Distal_Colon,Colon,Neg,LyzCre,NA,None,NA,Luminal_Colon,UCLA_O_SPF,BioGeo.Lyz2.01B.FP207.S55
BioGeo-Lyz2-01B-FP211-S59_merged_R1_001.fastq_profiled_metagenome,Lyz2-01B-FP211-S59,3B_LyzCre,Luminal,Female,Jejunum,SI,Neg,LyzCre,NA,None,NA,Luminal_SI,UCLA_O_SPF,BioGeo.Lyz2.01B.FP211.S59
BioGeo-Lyz2-02B-FP219-S67_merged_R1_001.fastq_profiled_metagenome,Lyz2-02B-FP219-S67,4B_LyzCre,Luminal,Female,Distal_Colon,Colon,Neg,LyzCre,NA,None,NA,Luminal_Colon,UCLA_O_SPF,BioGeo.Lyz2.02B.FP219.S67
BioGeo-Lyz2-02B-FP223-S71_merged_R1_001.fastq_profiled_metagenome,Lyz2-02B-FP223-S71,4B_LyzCre,Luminal,Female,Jejunum,SI,Neg,LyzCre,NA,None,NA,Luminal_SI,UCLA_O_SPF,BioGeo.Lyz2.02B.FP223.S71
BioGeo-Lyz2-03B-FP231-S79_merged_R1_001.fastq_profiled_metagenome,Lyz2-03B-FP231-S79,5B_LyzCre,Luminal,Female,Distal_Colon,Colon,Neg,LyzCre,NA,None,NA,Luminal_Colon,UCLA_O_SPF,BioGeo.Lyz2.03B.FP231.S79
BioGeo-Lyz2-03B-FP235-S83_merged_R1_001.fastq_profiled_metagenome,Lyz2-03B-FP235-S83,5B_LyzCre,Luminal,Female,Jejunum,SI,Neg,LyzCre,NA,None,NA,Luminal_SI,UCLA_O_SPF,BioGeo.Lyz2.03B.FP235.S83
BioGeo-Lyz2-04B-FP243-S92_merged_R1_001.fastq_profiled_metagenome,Lyz2-04B-FP243-S92,6B_LyzCre,Luminal,Female,Distal_Colon,Colon,Neg,LyzCre,NA,None,NA,Luminal_Colon,UCLA_O_SPF,BioGeo.Lyz2.04B.FP243.S92
BioGeo-Lyz2-04B-FP247-S44_merged_R1_001.fastq_profiled_metagenome,Lyz2-04B-FP247-S44,6B_LyzCre,Luminal,Female,Jejunum,SI,Neg,LyzCre,NA,None,NA,Luminal_SI,UCLA_O_SPF,BioGeo.Lyz2.04B.FP247.S44
