feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0045	Sex	Male	4.80075484207907	0.61349012049615	14	4	0.000269865215389648	0.0245172058119734
MF0090	Site	Jejunum	1.40452437999397	0.13218412105575	14	4	0.000266915900207219	0.0245172058119734
MF0015	Site	Jejunum	1.47280638537759	0.123822375753432	14	4	0.00034051674738852	0.0245172058119734
MF0032	Site	Jejunum	1.33723867847983	0.17570719168827	14	1	0.00049827626788945	0.0269069184660303
MF0034	Site	Jejunum	1.09154444443931	0.176603301653299	14	3	0.00198960550044206	0.0716257980159141
MF0077	Sex	Male	2.46902334665346	0.587775754306148	14	2	0.00182689466822976	0.0716257980159141
MF0035	Sequencing_Run	Two	-1.36873918425628	0.31829615098585	14	14	0.0048105246752385	0.148439047121645
MF0018	Sequencing_Run	Two	2.51677516519782	0.655869834449737	14	5	0.0084376575861866	0.227816754827038
MF0073	Site	Jejunum	1.01927394725636	0.252785098833445	14	8	0.0113746783257109	0.245693051835356
MF0005	Site	Jejunum	-2.21553084964915	0.615609289439378	14	9	0.0111697321093085	0.245693051835356
MF0009	Sequencing_Run	Two	-1.35721659668232	0.38246112121349	14	13	0.0125398237879196	0.246236539835513
MF0067	Site	Jejunum	-1.17986637874736	0.420321698396351	14	13	0.0185684380602966	0.250673913814004
MF0018	Site	Jejunum	-1.19225957082734	0.299865790423204	14	5	0.0180900731213466	0.250673913814004
MF0038	Site	Jejunum	-1.51800799405581	0.530060381421845	14	12	0.0168456627020432	0.250673913814004
MF0002	Site	Jejunum	-0.443219882399525	0.11384053078605	14	14	0.0177587729246485	0.250673913814004
MF0015	Sequencing_Run	Two	-1.12981211359589	0.291580481878817	14	4	0.013980124661547	0.250673913814004
MF0063	Site	Jejunum	-1.38267333403044	0.514207340418327	14	12	0.0227409914236525	0.282799510659589
MF0033	Sex	Male	2.38332923054547	0.893246264484438	14	5	0.023566625888299	0.282799510659589
MF0101	Site	Jejunum	-1.45198432683889	0.582443662516066	14	12	0.031830696094091	0.307800220371909
MF0075	Sex	Male	1.7707813907774	0.622940810374197	14	2	0.033171624991687	0.307800220371909
MF0072	Sex	Male	2.45453710066617	1.00144883096352	14	11	0.0342000244857676	0.307800220371909
MF0086	Site	Jejunum	-0.710539165948518	0.251801541064685	14	13	0.0294777939058816	0.307800220371909
MF0056	Site	Jejunum	-1.18534384879887	0.470365305877184	14	12	0.030384759980937	0.307800220371909
MF0007	Site	Jejunum	2.65094597564641	0.950331123986051	14	0	0.0291602940111898	0.307800220371909
MF0102	Sex	Male	-2.43954958375523	1.03489079059622	14	5	0.040137618364866	0.309633055957538
MF0018	Sex	Male	3.77812962728297	1.3914392065568	14	5	0.0397137530522022	0.309633055957538
MF0002	Sequencing_Run	Two	0.766842143183961	0.269646751021781	14	14	0.0400754336200304	0.309633055957538
