OTU.ID	IL17.DTT.115	IL17.DTT.116	IL17.DTT.117	IL17.DTT.118	IL17.DTT.119	IL17.DTT.120	IL17.DTT.127	IL17.DTT.128	IL17.DTT.129	IL17.DTT.130	IL17.DTT.131	IL17.DTT.132	IL17.DTT.143	IL17.DTT.144	IL17.DTT.139	IL17.DTT.140	IL17.DTT.141	IL17.DTT.142	IL17.DTT.188	IL17.DTT.189	IL17.DTT.201	IL17.DTT.202	IL17.DTT.203	IL17.DTT.199	IL17.DTT.200	IL17.DTT.217	IL17.DTT.218	IL17.DTT.219	IL17.DTT.220	IL17.DTT.221	IL17.DTT.222	IL17.DTT.25	IL17.DTT.26	IL17.DTT.27	IL17.DTT.28	IL17.DTT.29	IL17.DTT.30	IL17.DTT.105	IL17.DTT.106	IL17.DTT.103	IL17.DTT.104	IL17.DTT.53	IL17.DTT.54	IL17.DTT.49	IL17.DTT.50	IL17.DTT.51	IL17.DTT.52	IL17.DTT.85	IL17.DTT.86	IL17.DTT.87	IL17.DTT.88	IL17.DTT.89	IL17.DTT.90	TKO.DTT.1	TKO.DTT.2	TKO.DTT.3	TKO.DTT.4	TKO.DTT.5	TKO.DTT.6	TKO.DTT.43	TKO.DTT.44	TKO.DTT.45	TKO.DTT.46	TKO.DTT.47	TKO.DTT.48	TKO.DTT.31	TKO.DTT.32	TKO.DTT.33	TKO.DTT.34	TKO.DTT.35	TKO.DTT.36	TKO.DTT.16	TKO.DTT.17	TKO.DTT.18	TKO.DTT.22	TKO.DTT.23	TKO.DTT.24	TKO.DTT.19	TKO.DTT.20	TKO.DTT.21	TKO.DTT.58	TKO.DTT.59	TKO.DTT.60	TKO.DTT.55	TKO.DTT.56	TKO.DTT.57	TKO.DTT.69	TKO.DTT.70	TKO.DTT.71	TKO.DTT.72	TKO.DTT.78	TKO.DTT.73	TKO.DTT.74	TKO.DTT.75	TKO.DTT.76	TKO.DTT.77	TKO.DTT.87	TKO.DTT.88	TKO.DTT.89	TKO.DTT.90	TKO.DTT.91	TKO.DTT.92	TKO.DTT.93	TKO.DTT.94	TKO.DTT.95	TKO.DTT.96	TKO.DTT.103	TKO.DTT.104	TKO.DTT.105	TKO.DTT.106	TKO.DTT.107	TKO.DTT.108	TKO.DTT.109	TKO.DTT.110	TKO.DTT.111	TKO.DTT.112	TKO.DTT.113	TKO.DTT.123	TKO.DTT.124	TKO.DTT.125	TKO.DTT.126	TKO.DTT.127	TKO.DTT.128	TKO.DTT.129	TKO.DTT.130	TKO.DTT.131	TKO.DTT.132	TKO.DTT.139	TKO.DTT.140	TKO.DTT.141	TKO.DTT.142	TKO.DTT.143	TKO.DTT.144	TKO.DTT.154	TKO.DTT.155	TKO.DTT.156	TKO.DTT.151	TKO.DTT.152	TKO.DTT.153	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	175	3	5	759	61	4	433	23	28344	51	269	211	24681	35665	47	9	39	111432	12	5	48	105379	46692	22	23	7	5	29	32477	959	812	162	140	316	139019	76584	490	6	4057	10	5	16398	250	70	25	88	109108	19	12	51	84368	160	39	109	4	13	53611	8160	10	13	7	6	60187	32347	48	3	81	321	57128	26472	252	19908	5804	51	29366	1887	217	201	12	90	20144	2286	173	198	19	14	1761	94884	98060	11645	1336	6	20	7	62989	18933	36	98954	47751	12503	7	9	19	32092	3	3	70	26	17	43344	8375	4255	49	15	36	52819	27149	30	74297	41540	13570	6	7	6	24306	3580	83	4	14	6	11	3	0	5	0	3	4	6	8	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	4254	2782	2924	6403	4055	1698	2788	3000	8648	7939	6621	10637	0	92	1178	1020	1709	344	71	327	1751	170	4034	984	857	239	2254	1201	11003	2666	4267	336	253	476	1211	2738	5629	1330	4967	823	865	1310	173	1762	1160	1917	1652	1448	533	1505	913	3793	3510	808	78	764	456	5392	2603	398	232	267	725	10274	3868	880	577	466	1053	3584	156	2187	783	1151	280	146	171	685	226	1154	347	215	275	427	449	1121	369	16	470	660	356	668	362	485	469	446	3491	142	1267	391	460	95	275	554	6956	1049	4729	2342	3225	459	2121	4928	282	334	753	238	2432	714	89	341	1881	2792	620	3949	5222	3970	1160	1301	1240	2330	1619	1345	398	888	7238	595	431	102	464	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	15745	17891	22266	32773	71461	46292	6248	13250	48641	25625	53258	55003	160	6130	51960	61203	36425	293	17701	22773	16045	368	1302	11915	17657	2910	45033	24383	27090	23318	21924	32365	24811	24561	61	222	628	27990	10281	11880	35874	7385	1201	39101	48193	44414	10533	41514	24937	26555	15227	14296	47499	10556	3096	18205	15256	3404	11908	38263	20906	10640	741	880	2501	31829	16696	14209	3966	3417	1360	25482	57907	51640	18598	46103	63082	30112	19557	24418	30099	43461	51569	6129	20992	17831	8130	154	379	1248	2459	42160	16392	17753	831	1856	19254	3459	1011	2045	29924	28966	20722	1097	1211	1693	15504	11650	5905	737	101	9368	29148	34309	33182	709	53	28063	115	5063	4417	30451	14687	23424	9312	3634	11629	41345	34895	27182	54632	44372	13048	1345	1131	4217	47151	13238	16900	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	854	958	1271	1092	2239	2079	816	710	2164	1222	1934	2064	0	0	3890	4829	2870	2	788	883	796	33	9	551	863	177	1928	1322	918	813	1205	1495	1874	1838	4	0	7	1060	880	519	1351	443	51	1437	1573	1722	400	1818	1105	1246	1043	560	1404	1138	188	1338	1225	549	1359	1381	1041	489	29	101	298	1172	620	655	215	185	117	1037	846	832	764	1967	3702	1901	1009	1642	881	1153	2422	366	1589	1668	369	1	8	14	300	2324	1256	1451	81	225	1009	157	39	181	2904	2062	1393	810	1267	511	677	723	259	66	9	607	1466	1783	1769	36	69	1539	2	252	266	1482	775	1283	752	424	791	1571	1095	817	3304	1712	1176	72	34	216	1677	765	1011	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	149	309	331	9680	1376	616	18	0	0	0	0	0	0	2	208	174	284	62	175	653	0	0	0	0	0	34	222	79	771	754	1254	0	2	2	0	0	0	19	356	75	26	0	0	0	7	2	95	6	14	7	6	1907	1439	159	8	68	381	2890	1862	10	2	3	17	49	18	0	3	0	0	0	0	77	18	128	138	247	348	393	110	323	118	235	213	127	52	112	0	2	13	0	118	108	32	29	56	152	0	22	7	0	213	42	91	1119	2565	39	2	0	0	0	0	0	41	57	94	13	158	41	24	195	352	48	13	47	536	902	171	100	60	139	267	513	305	5328	5622	5856	248	35	97	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002	76	125	178	1767	580	610	25	0	12	2	7	0	0	0	31	18	34	17	23	87	0	0	0	0	0	14	44	33	550	162	429	0	0	0	0	0	175	52	380	55	29	117	0	11	10	8	51	34	6	16	36	181	155	4	0	9	75	287	281	10	5	0	7	72	6	0	5	0	4	0	0	36	27	22	28	125	159	54	19	48	47	28	32	47	25	27	0	0	0	0	237	49	12	15	53	36	0	0	0	0	49	12	17	704	1779	292	0	0	4	0	7	24	58	23	35	14	385	14	4	107	264	34	5	12	418	679	362	24	20	23	52	81	23	2240	3342	4095	27	9	27	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	498	4518	7414	297	171	966	867	8630	87	9442	96	619	0	860	1528	3018	18295	29	12043	18329	11018	258	176	3902	5629	98	5318	5735	114	18	97	374	8998	17257	6	0	369	5785	216	1436	7053	0	69	953	4603	13580	16	1170	6052	7752	102	1084	5151	3459	147	8775	90	6	1140	1156	9266	32121	208	462	1728	3553	7955	16200	1824	1385	336	123	403	657	10	24	161	5280	8018	21488	124	117	387	8616	5816	20007	27224	19	40	427	206	3934	5276	16233	74	127	23849	895	71	126	2696	4109	5913	97	83	358	1592	4585	3190	1086	58	2739	607	3565	6885	67	8	15384	4	427	479	514	2892	11087	1078	188	662	833	6173	19683	65	129	670	185	85	900	1536	10482	23395	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	3	177	254	1500	128	462	33	266	463	469	74	344	0	0	91	137	368	9	576	549	195	3	39	149	203	0	140	85	302	83	237	0	265	168	0	0	48	591	175	97	438	129	376	20	171	160	142	239	332	476	471	106	225	1035	23	197	253	72	327	128	477	752	11	25	228	192	621	847	166	348	0	351	136	210	59	115	168	348	375	365	622	86	297	1587	1931	1466	220	2	19	11	122	878	200	476	39	189	567	104	12	5	246	420	267	87	15	2	124	63	47	0	0	131	81	212	371	5	0	401	2	34	92	84	362	279	389	113	58	45	167	118	570	105	227	60	102	135	65	165	150	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	101	118	122	368	228	410	0	0	0	0	0	0	0	0	21	4	0	0	356	407	0	0	0	0	0	0	0	0	12	4	32	135	105	207	8	0	0	530	3668	784	817	0	0	0	3	0	0	4	49	69	0	0	0	56	6	4	0	22	2	71	0	0	0	0	70	8	11	0	0	0	105	0	0	0	0	3	2	0	0	0	2821	770	683	1138	519	576	0	0	0	0	3007	710	233	192	1777	2070	0	2	0	0	393	250	312	2498	7907	1004	0	0	0	6	3	0	219	237	222	133	283	0	0	50	61	55	30	67	274	355	38	146	97	143	211	12	79	5846	2774	1938	897	382	380	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	0	15	21	0	0	0	0	30	0	65	0	0	0	0	3	15	17	0	39	56	61	0	0	33	68	0	8	17	0	4	3	0	60	82	0	0	0	15	0	0	14	0	0	5	16	28	5	8	26	38	4	0	66	24	3	28	0	0	31	7	52	37	0	0	59	45	47	55	10	0	0	0	3	0	0	0	0	141	220	206	0	0	17	200	187	166	18	0	0	0	0	5	20	21	0	0	37	4	0	0	26	37	29	0	0	0	33	165	6	0	0	0	54	96	296	2	0	2377	0	28	45	24	39	99	205	0	0	15	20	38	0	10	14	0	0	0	0	21	32	
