"","X","chao1","observed_otus","pielou_e","shannon","SampleID"
"1","IL17.DTT.103",91.25,86,0.613531635421438,3.94271672460352,"IL17.DTT.103"
"2","IL17.DTT.104",147,140,0.550276164827451,3.92307451653396,"IL17.DTT.104"
"3","IL17.DTT.105",169.875,141,0.580842110316933,4.14695207424343,"IL17.DTT.105"
"4","IL17.DTT.106",35,35,0.6326319628879,3.24494838321746,"IL17.DTT.106"
"5","IL17.DTT.115",89.6666666666667,88,0.570107895686688,3.68257296743337,"IL17.DTT.115"
"6","IL17.DTT.116",148.5,143,0.666426998543743,4.7715315649286,"IL17.DTT.116"
"7","IL17.DTT.117",145.352941176471,140,0.662458383077625,4.72285329990814,"IL17.DTT.117"
"8","IL17.DTT.118",51,48,0.597829931707697,3.33885775039618,"IL17.DTT.118"
"9","IL17.DTT.119",47.3333333333333,38,0.527969935621749,2.77074795142041,"IL17.DTT.119"
"10","IL17.DTT.120",42,41,0.569884707381421,3.05318695643252,"IL17.DTT.120"
"11","IL17.DTT.127",104.5,104,0.651280772619213,4.36386755651939,"IL17.DTT.127"
"12","IL17.DTT.128",141,137,0.744579968571431,5.28505250524976,"IL17.DTT.128"
"13","IL17.DTT.129",43,34,0.547725865369623,2.78653498725964,"IL17.DTT.129"
"14","IL17.DTT.130",153.333333333333,142,0.665333725324444,4.75696788614776,"IL17.DTT.130"
"15","IL17.DTT.131",28,25,0.592089881353023,2.74958026042422,"IL17.DTT.131"
"16","IL17.DTT.132",65,53,0.495038062131225,2.83553864186877,"IL17.DTT.132"
"17","IL17.DTT.139",128.866666666667,112,0.488835114102618,3.32767412006105,"IL17.DTT.139"
"18","IL17.DTT.140",137.105263157895,120,0.480513658651127,3.31885526999891,"IL17.DTT.140"
"19","IL17.DTT.141",137.4375,134,0.6306117667705,4.45595898855251,"IL17.DTT.141"
"20","IL17.DTT.142",22,15,0.0198368643107811,0.0775004586221528,"IL17.DTT.142"
"21","IL17.DTT.143",6,5,0.0796845390433813,0.185021769932976,"IL17.DTT.143"
"22","IL17.DTT.144",12,12,0.313250698761373,1.12299200838422,"IL17.DTT.144"
