	chao1
IL17.DTT.115	89.66666666666667
IL17.DTT.116	148.5
IL17.DTT.117	145.35294117647058
IL17.DTT.118	51.0
IL17.DTT.119	47.333333333333336
IL17.DTT.120	42.0
IL17.DTT.127	104.5
IL17.DTT.128	141.0
IL17.DTT.129	43.0
IL17.DTT.130	153.33333333333334
IL17.DTT.131	28.0
IL17.DTT.132	65.0
IL17.DTT.143	6.0
IL17.DTT.144	12.0
IL17.DTT.139	128.86666666666667
IL17.DTT.140	137.10526315789474
IL17.DTT.141	137.4375
IL17.DTT.142	22.0
IL17.DTT.188	153.57142857142858
IL17.DTT.189	170.0
IL17.DTT.201	149.07692307692307
IL17.DTT.202	46.0
IL17.DTT.203	41.6
IL17.DTT.199	150.0
IL17.DTT.200	142.57142857142858
IL17.DTT.217	95.83333333333333
IL17.DTT.218	166.8125
IL17.DTT.219	146.57142857142858
IL17.DTT.220	60.15384615384615
IL17.DTT.221	63.0
IL17.DTT.222	79.0
IL17.DTT.25	97.0
IL17.DTT.26	150.46153846153845
IL17.DTT.27	149.0
IL17.DTT.28	5.0
IL17.DTT.29	8.0
IL17.DTT.105	169.875
IL17.DTT.106	35.0
IL17.DTT.103	91.25
IL17.DTT.104	147.0
IL17.DTT.53	16.0
IL17.DTT.49	114.375
IL17.DTT.50	151.0
IL17.DTT.51	158.0
IL17.DTT.52	24.5
IL17.DTT.85	125.0909090909091
IL17.DTT.86	163.76923076923077
IL17.DTT.87	156.57692307692307
IL17.DTT.88	32.5
IL17.DTT.89	106.5
IL17.DTT.90	149.5
TKO.DTT.7	126.0909090909091
TKO.DTT.8	146.4
TKO.DTT.9	145.06666666666666
TKO.DTT.10	17.0
TKO.DTT.11	12.5
TKO.DTT.12	90.75
TKO.DTT.1	147.54545454545453
TKO.DTT.2	98.75
TKO.DTT.3	193.0909090909091
TKO.DTT.4	66.33333333333333
TKO.DTT.5	42.0
TKO.DTT.6	97.42857142857143
TKO.DTT.43	134.14285714285714
TKO.DTT.44	158.5625
TKO.DTT.45	144.05263157894737
TKO.DTT.46	126.33333333333334
TKO.DTT.47	66.2
TKO.DTT.48	73.5
TKO.DTT.49	156.0
TKO.DTT.50	154.6
TKO.DTT.51	162.9090909090909
TKO.DTT.52	4.0
TKO.DTT.53	74.0
TKO.DTT.54	98.6
TKO.DTT.31	153.33333333333334
TKO.DTT.32	180.0
TKO.DTT.33	156.0
TKO.DTT.34	123.3529411764706
TKO.DTT.35	85.0
TKO.DTT.40	27.0
TKO.DTT.41	40.90909090909091
TKO.DTT.42	68.25
TKO.DTT.37	128.42857142857142
TKO.DTT.38	156.76923076923077
TKO.DTT.39	153.0
TKO.DTT.25	140.5
TKO.DTT.26	161.25
TKO.DTT.27	146.875
TKO.DTT.28	18.333333333333332
TKO.DTT.29	38.6
TKO.DTT.30	62.166666666666664
TKO.DTT.16	51.166666666666664
TKO.DTT.17	101.42857142857143
TKO.DTT.18	96.15384615384616
TKO.DTT.22	37.333333333333336
TKO.DTT.23	52.5
TKO.DTT.24	54.857142857142854
TKO.DTT.19	162.06666666666666
TKO.DTT.20	158.0
TKO.DTT.21	170.75
TKO.DTT.58	76.15384615384616
TKO.DTT.59	56.57142857142857
TKO.DTT.60	68.66666666666667
TKO.DTT.55	123.66666666666667
TKO.DTT.56	143.5
TKO.DTT.57	147.36363636363637
TKO.DTT.61	146.0
TKO.DTT.62	152.0
TKO.DTT.63	156.27272727272728
TKO.DTT.64	38.6
TKO.DTT.65	38.0
TKO.DTT.66	34.0
TKO.DTT.69	138.0
TKO.DTT.70	31.42857142857143
TKO.DTT.71	48.5
TKO.DTT.72	65.0
TKO.DTT.78	74.0
TKO.DTT.73	140.16666666666666
TKO.DTT.74	144.2
TKO.DTT.75	133.75
TKO.DTT.76	53.666666666666664
TKO.DTT.77	59.0
TKO.DTT.79	145.0
TKO.DTT.80	159.9090909090909
TKO.DTT.81	153.4
TKO.DTT.82	50.2
TKO.DTT.83	121.14285714285714
TKO.DTT.84	121.54545454545455
TKO.DTT.87	142.33333333333334
TKO.DTT.88	102.66666666666667
TKO.DTT.89	60.666666666666664
TKO.DTT.90	34.0
TKO.DTT.98	142.75
TKO.DTT.99	169.9090909090909
TKO.DTT.100	69.33333333333333
TKO.DTT.101	66.11111111111111
TKO.DTT.102	116.55555555555556
TKO.DTT.97	157.3
TKO.DTT.91	129.5
TKO.DTT.92	140.125
TKO.DTT.93	144.5
TKO.DTT.94	40.5
TKO.DTT.95	43.0
TKO.DTT.116	154.58333333333334
TKO.DTT.117	129.9
TKO.DTT.118	44.5
TKO.DTT.119	81.5
TKO.DTT.120	142.46153846153845
TKO.DTT.115	143.5
TKO.DTT.103	110.875
TKO.DTT.104	132.57142857142858
TKO.DTT.105	141.6153846153846
TKO.DTT.106	47.0
TKO.DTT.107	37.0
TKO.DTT.108	107.66666666666667
TKO.DTT.109	112.0
TKO.DTT.110	143.92857142857142
TKO.DTT.111	142.66666666666666
TKO.DTT.112	38.111111111111114
TKO.DTT.113	22.5
TKO.DTT.123	150.11111111111111
TKO.DTT.124	15.333333333333334
TKO.DTT.125	87.5
TKO.DTT.126	90.14285714285714
TKO.DTT.136	25.0
TKO.DTT.137	61.25
TKO.DTT.138	76.54545454545455
TKO.DTT.133	157.0
TKO.DTT.134	160.0
TKO.DTT.135	146.52631578947367
TKO.DTT.127	131.28571428571428
TKO.DTT.128	161.46153846153845
TKO.DTT.129	154.55555555555554
TKO.DTT.130	112.83333333333333
TKO.DTT.131	51.0
TKO.DTT.132	90.14285714285714
TKO.DTT.139	134.43478260869566
TKO.DTT.140	148.6875
TKO.DTT.141	161.05555555555554
TKO.DTT.142	60.2
TKO.DTT.143	54.6
TKO.DTT.144	89.5
TKO.DTT.145	92.0
TKO.DTT.146	135.5
TKO.DTT.147	150.86666666666667
TKO.DTT.148	43.54545454545455
TKO.DTT.149	53.0
TKO.DTT.150	68.0
TKO.DTT.154	57.666666666666664
TKO.DTT.155	41.42857142857143
TKO.DTT.156	103.27272727272727
TKO.DTT.151	129.66666666666666
TKO.DTT.152	150.66666666666666
TKO.DTT.153	151.58823529411765
TKO.DTT.157	147.46153846153845
TKO.DTT.158	142.54545454545453
TKO.DTT.159	168.625
TKO.DTT.160	143.0
TKO.DTT.161	124.5
TKO.DTT.162	134.0
TILC.DTT.445	51.0
TILC.DTT.446	136.5
TILC.DTT.448	23.0
TILC.DTT.449	21.0
TILC.DTT.450	20.2
TILC.DTT.553	118.25
TILC.DTT.554	117.0
TILC.DTT.556	21.5
TILC.DTT.557	22.0
TILC.DTT.558	66.42857142857143
TILC.DTT.613	102.0
TILC.DTT.614	149.0
TILC.DTT.615	130.55555555555554
TILC.DTT.616	24.0
TILC.DTT.617	14.5
TILC.DTT.618	68.42857142857143
TILC.DTT.379	144.6
TILC.DTT.380	150.6
TILC.DTT.382	9.5
TILC.DTT.383	11.0
TILC.DTT.384	14.0
TILC.DTT.351	150.5
TILC.DTT.352	14.0
TILC.DTT.353	5.0
TILC.DTT.354	10.333333333333334
TILC.DTT.349	154.75
TILC.DTT.350	149.42857142857142
TILC.DTT.603	142.0
TILC.DTT.605	34.5
TILC.DTT.606	59.5
TILC.DTT.601	122.54545454545455
TILC.DTT.602	150.3
TILC.DTT.478	17.6
TILC.DTT.479	15.0
TILC.DTT.480	14.5
TILC.DTT.475	149.3684210526316
TILC.DTT.476	157.05555555555554
TILC.DTT.19	97.0
TILC.DTT.20	122.75
TILC.DTT.22	49.0
TILC.DTT.23	22.0
TILC.DTT.24	40.875
TILC.DTT.425	18.0
TILC.DTT.426	36.5
TILC.DTT.421	87.0
TILC.DTT.422	139.4
TILC.DTT.424	13.5
TILC.DTT.392	150.75
TILC.DTT.393	140.66666666666666
TILC.DTT.394	46.0
TILC.DTT.395	16.75
TILC.DTT.396	19.0
TILC.DTT.643	149.66666666666666
TILC.DTT.644	142.42857142857142
TILC.DTT.645	150.54545454545453
TILC.DTT.646	52.2
TILC.DTT.647	18.25
TILC.DTT.648	62.0
TILC.DTT.505	129.33333333333334
TILC.DTT.508	24.5
TILC.DTT.509	34.0
TILC.DTT.510	77.6
TILC.DTT.589	151.5
TILC.DTT.590	153.15384615384616
TILC.DTT.591	164.54545454545453
TILC.DTT.592	8.75
TILC.DTT.593	22.0
TILC.DTT.594	87.5
TILC.DTT.295	73.75
TILC.DTT.296	136.05882352941177
TILC.DTT.298	26.5
TILC.DTT.299	9.0
TILC.DTT.300	5.333333333333333
TILC.DTT.575	23.5
TILC.DTT.576	22.5
TILC.DTT.571	128.1
TILC.DTT.572	155.0
TILC.DTT.574	19.25
TILC.DTT.269	18.0
TILC.DTT.270	19.5
TILC.DTT.265	146.33333333333334
TILC.DTT.266	153.8
TILC.DTT.268	18.5
